Datum,cds2l,Date,Indiv,Trial,Heading
2,No_Lights,2015/4/1,1,2,0
311,Equal_Intensity,2015/5/7,8,3,0
691,Equal_Intensity,2015/5/12,18,1,0
4,Intensity_Difference,2015/2/2,1,4,0
441,Intensity_Difference,2015/2/2,11,4,0
601,Intensity_Difference,2015/2/2,15,4,0
66,Intensity_Difference,2015/2/2,17,2,0
57,No_Lights,2015/4/7,15,1,10
117,No_Lights,2015/4/8,30,1,10
13,Intensity_Difference,2015/2/2,4,1,10
28,Intensity_Difference,2015/2/2,7,4,10
431,Intensity_Difference,2015/2/2,11,3,10
42,No_Lights,2015/4/1,11,2,15
30,Intensity_Difference,2015/2/2,8,2,15
134,No_Lights,2015/4/8,34,2,20
21,Intensity_Difference,2015/2/2,6,1,20
22,Intensity_Difference,2015/2/2,6,2,20
29,Intensity_Difference,2015/2/2,8,1,20
381,Intensity_Difference,2015/2/2,10,2,20
86,No_Lights,2015/4/8,22,2,30
210,Equal_Intensity,2015/5/7,1,2,35
361,Intensity_Difference,2015/2/2,9,4,35
60,Equal_Intensity,2015/5/11,15,4,40
841,Equal_Intensity,2015/5/12,21,4,45
101,No_Lights,2015/4/8,26,1,50
103,Equal_Intensity,2015/5/7,3,2,50
20,Intensity_Difference,2015/2/2,5,4,50
47,No_Lights,2015/4/1,12,3,55
118,No_Lights,2015/4/8,30,2,55
671,Equal_Intensity,2015/5/11,17,3,55
851,Equal_Intensity,2015/5/12,22,1,55
861,Equal_Intensity,2015/5/12,22,2,55
67,No_Lights,2015/4/7,17,3,60
161,Equal_Intensity,2015/5/7,4,4,60
51,Equal_Intensity,2015/5/11,13,3,60
116,No_Lights,2015/4/8,29,4,65
58,No_Lights,2015/4/7,15,2,80
32,No_Lights,2015/4/1,8,4,85
49,No_Lights,2015/4/1,13,1,85
772,Intensity_Difference,2015/2/2,20,1,90
39,No_Lights,2015/4/1,10,3,100
131,No_Lights,2015/4/8,33,3,110
16,No_Lights,2015/4/1,4,4,115
91,No_Lights,2015/4/8,23,3,115
95,Equal_Intensity,2015/5/7,3,1,115
40,No_Lights,2015/4/1,10,4,120
151,Equal_Intensity,2015/5/7,4,3,120
68,No_Lights,2015/4/7,17,4,125
231,Equal_Intensity,2015/5/7,6,3,125
43,Equal_Intensity,2015/5/11,11,3,125
19,Intensity_Difference,2015/2/2,5,3,125
17,No_Lights,2015/4/1,5,1,130
38,Equal_Intensity,2015/5/11,10,2,130
72,Intensity_Difference,2015/2/2,18,4,130
78,No_Lights,2015/4/7,20,2,135
94,No_Lights,2015/4/8,24,2,135
681,Equal_Intensity,2015/5/11,17,4,135
63,No_Lights,2015/4/7,16,3,140
69,No_Lights,2015/4/7,18,1,140
771,Equal_Intensity,2015/5/12,20,1,140
921,Equal_Intensity,2015/5/12,23,4,140
351,Intensity_Difference,2015/2/2,9,3,140
541,Intensity_Difference,2015/2/2,14,2,140
71,Intensity_Difference,2015/2/2,18,3,140
26,No_Lights,2015/4/1,7,2,145
55,No_Lights,2015/4/1,14,3,150
73,Equal_Intensity,2015/5/7,2,3,150
93,No_Lights,2015/4/8,24,1,165
25,No_Lights,2015/4/1,7,1,170
76,No_Lights,2015/4/7,19,4,170
53,Equal_Intensity,2015/5/11,14,1,170
77,No_Lights,2015/4/7,20,1,175
15,No_Lights,2015/4/1,4,3,180
181,Equal_Intensity,2015/5/7,5,2,180
44,Equal_Intensity,2015/5/11,11,4,180
52,Equal_Intensity,2015/5/11,13,4,180
531,Intensity_Difference,2015/2/2,14,1,180
941,Equal_Intensity,2015/5/12,24,2,185
751,Equal_Intensity,2015/5/12,19,3,190
48,No_Lights,2015/4/1,12,4,195
56,No_Lights,2015/4/1,14,4,195
8,No_Lights,2015/4/1,2,4,200
241,Equal_Intensity,2015/5/7,6,4,200
831,Equal_Intensity,2015/5/12,21,3,205
45,Equal_Intensity,2015/5/11,12,1,210
931,Equal_Intensity,2015/5/12,24,1,210
6,Intensity_Difference,2015/2/2,2,2,210
99,No_Lights,2015/4/8,25,3,215
7,No_Lights,2015/4/1,2,3,220
100,No_Lights,2015/4/8,25,4,220
142,No_Lights,2015/4/8,36,2,220
24,No_Lights,2015/4/1,6,4,225
9,No_Lights,2015/4/1,3,1,230
126,No_Lights,2015/4/8,32,2,235
139,No_Lights,2015/4/8,35,3,235
11,Intensity_Difference,2015/2/2,3,3,240
752,Intensity_Difference,2015/2/2,19,3,240
621,Intensity_Difference,2015/2/2,16,2,245
84,No_Lights,2015/4/8,21,4,250
110,No_Lights,2015/4/8,28,2,250
23,No_Lights,2015/4/1,6,3,260
124,No_Lights,2015/4/8,31,4,260
133,No_Lights,2015/4/8,34,1,260
46,Equal_Intensity,2015/5/11,12,2,260
132,No_Lights,2015/4/8,33,4,265
