Datum,cds2l,Date,Indiv,Trial,Heading
451,Intensity_Difference,2015/2/2,12,1,265
1,No_Lights,2015/4/1,1,1,270
761,Equal_Intensity,2015/5/12,19,4,270
5,Intensity_Difference,2015/2/2,2,1,270
92,No_Lights,2015/4/8,23,4,275
59,Equal_Intensity,2015/5/11,15,3,275
781,Equal_Intensity,2015/5/12,20,2,275
109,No_Lights,2015/4/8,28,1,280
762,Intensity_Difference,2015/2/2,19,4,280
701,Equal_Intensity,2015/5/12,18,2,285
75,No_Lights,2015/4/7,19,3,290
140,No_Lights,2015/4/8,35,4,290
81,Equal_Intensity,2015/5/7,2,4,290
782,Intensity_Difference,2015/2/2,20,2,290
85,No_Lights,2015/4/8,22,1,295
102,No_Lights,2015/4/8,26,2,295
461,Intensity_Difference,2015/2/2,12,2,295
34,No_Lights,2015/4/1,9,2,300
41,No_Lights,2015/4/1,11,1,300
111,Equal_Intensity,2015/5/7,1,1,300
36,Equal_Intensity,2015/5/11,9,4,300
911,Equal_Intensity,2015/5/12,23,3,300
611,Intensity_Difference,2015/2/2,16,1,300
123,No_Lights,2015/4/8,31,3,305
125,No_Lights,2015/4/8,32,1,305
371,Intensity_Difference,2015/2/2,10,1,305
31,No_Lights,2015/4/1,8,3,310
83,No_Lights,2015/4/8,21,3,310
107,No_Lights,2015/4/8,27,3,310
171,Equal_Intensity,2015/5/7,5,1,310
251,Equal_Intensity,2015/5/7,7,1,310
321,Equal_Intensity,2015/5/7,8,4,310
62,Equal_Intensity,2015/5/11,16,2,310
108,No_Lights,2015/4/8,27,4,315
35,Equal_Intensity,2015/5/11,9,3,320
61,Equal_Intensity,2015/5/11,16,1,320
10,No_Lights,2015/4/1,3,2,325
18,No_Lights,2015/4/1,5,2,325
64,No_Lights,2015/4/7,16,4,325
115,No_Lights,2015/4/8,29,3,325
27,Intensity_Difference,2015/2/2,7,3,325
33,No_Lights,2015/4/1,9,1,330
50,No_Lights,2015/4/1,13,2,330
70,No_Lights,2015/4/7,18,2,330
54,Equal_Intensity,2015/5/11,14,2,335
12,Intensity_Difference,2015/2/2,3,4,340
261,Equal_Intensity,2015/5/7,7,2,345
591,Intensity_Difference,2015/2/2,15,3,345
141,No_Lights,2015/4/8,36,1,350
37,Equal_Intensity,2015/5/11,10,1,350
3,Intensity_Difference,2015/2/2,1,3,350
65,Intensity_Difference,2015/2/2,17,1,350
14,Intensity_Difference,2015/2/2,4,2,355
511,Intensity_Difference,2015/2/2,13,3,355
521,Intensity_Difference,2015/2/2,13,4,355
