Condition,OrientationError
Equal_Intensity,0
Equal_Intensity,10
Equal_Intensity,20
Equal_Intensity,25
Equal_Intensity,35
Equal_Intensity,50
Equal_Intensity,50
Equal_Intensity,55
Equal_Intensity,60
Equal_Intensity,65
Equal_Intensity,75
Equal_Intensity,75
Equal_Intensity,80
Equal_Intensity,80
Equal_Intensity,95
Equal_Intensity,120
Equal_Intensity,125
Equal_Intensity,130
Equal_Intensity,135
Equal_Intensity,140
Equal_Intensity,140
Equal_Intensity,160
Equal_Intensity,160
Equal_Intensity,165
Milky_Way,5
Milky_Way,5
Milky_Way,5
Milky_Way,5
Milky_Way,5
Milky_Way,5
Milky_Way,10
Milky_Way,10
Milky_Way,10
Milky_Way,10
Milky_Way,10
Milky_Way,10
Milky_Way,15
Milky_Way,15
Milky_Way,15
Milky_Way,15
Milky_Way,20
Milky_Way,20
Milky_Way,20
Milky_Way,20
Milky_Way,20
Milky_Way,20
Milky_Way,25
Milky_Way,30
Milky_Way,30
Milky_Way,30
Milky_Way,30
Milky_Way,35
Milky_Way,40
Milky_Way,40
Milky_Way,40
Milky_Way,45
Milky_Way,45
Milky_Way,50
Milky_Way,50
Milky_Way,55
Milky_Way,70
Milky_Way,70
Milky_Way,80
Milky_Way,90
Milky_Way,95
Milky_Way,115
Milky_Way,130
Milky_Way,140
Milky_Way,155
